indicator_number,indicator_short_label,theme,nfhs4_value,nfhs5_value,absolute_change,percentage_change,trend
7,Population living in households with electricity (%),Infrastructure & Environmental Access,99.1,99.6,0.5,0.5,Improved
8,Population living in households with an improved…,Infrastructure & Environmental Access,89.3,91.8,2.5,2.8,Improved
9,Population living in households that use an improved…,Infrastructure & Environmental Access,54.7,77.8,23.1,42.23,Improved
10,Households using clean fuel for cooking(%),Infrastructure & Environmental Access,56.1,72.9,16.8,29.95,Improved
11,Households using iodized salt (%),Infrastructure & Environmental Access,90.4,82.2,-8.2,-9.07,Declined
32,Mothers who had an antenatal check-up in the first…,Maternal & Newborn Care Access,77.9,79.4,1.5,1.93,Improved
33,Mothers who had at least 4 antenatal care visits (%),Maternal & Newborn Care Access,81.8,58.6,-23.2,-28.36,Declined
37,Registered pregnancies for which the mother received a…,Maternal & Newborn Care Access,94.0,97.0,3.0,3.19,Improved
42,Institutional births (%),Maternal & Newborn Care Access,84.9,95.3,10.4,12.25,Improved
44,Home births that were conducted by skilled health…,Maternal & Newborn Care Access,1.8,0.0,-1.8,-100.0,Declined
45,Births attended by skilled health personnel(%),Maternal & Newborn Care Access,82.3,94.4,12.1,14.7,Improved
49,Children age 12-23 months fully vaccinated based on…,Child Immunization Coverage,66.0,76.5,10.5,15.91,Improved
51,Children age 12-23 months who have received BCG (%),Child Immunization Coverage,100.0,97.9,-2.1,-2.1,Declined
52,Children age 12-23 months who have received 3 doses of…,Child Immunization Coverage,76.0,76.5,0.5,0.66,Improved
53,Children age 12-23 months who have received 3 doses of…,Child Immunization Coverage,93.3,90.5,-2.8,-3.0,Declined
54,Children age 12-23 months who have received the first…,Child Immunization Coverage,89.3,95.1,5.8,6.49,Improved
61,Prevalence of diarrhoea in the 2 weeks preceding the…,Respiratory & Waterborne Illness,8.8,8.1,-0.7,-7.95,Improved
62,Children with diarrhoea in the 2 weeks preceding the…,Respiratory & Waterborne Illness,,,,,No baseline
63,Children with diarrhoea in the 2 weeks preceding the…,Respiratory & Waterborne Illness,,,,,No baseline
64,Children with diarrhoea in the 2 weeks preceding the…,Respiratory & Waterborne Illness,,,,,No baseline
65,Prevalence of symptoms of acute respiratory infection…,Respiratory & Waterborne Illness,0.0,2.0,2.0,,Declined
66,Children with fever or symptoms of ARI in the 2 weeks…,Respiratory & Waterborne Illness,,72.3,,,No baseline
73,Children under 5 years who are stunted (height-for-…,Child Nutrition & Growth,30.1,31.0,0.9,2.99,Declined
74,Children under 5 years who are wasted (weight-for-…,Child Nutrition & Growth,17.2,21.5,4.3,25.0,Declined
75,Children under 5 years who are severely wasted…,Child Nutrition & Growth,1.5,11.2,9.7,646.67,Declined
76,Children under 5 years who are underweight (weight-…,Child Nutrition & Growth,33.1,33.5,0.4,1.21,Declined
77,Children under 5 years who are overweight (weight-for-…,Child Nutrition & Growth,0.0,4.8,4.8,,Declined
78,Women whose Body Mass Index (BMI) is below normal (BMI…,Women's Nutritional Status (BMI),18.9,17.4,-1.5,-7.94,Improved
79,Women who are overweight or obese (BMI ≥25.0 kg/m2)(%),Women's Nutritional Status (BMI),28.8,23.8,-5.0,-17.36,Improved
80,Women who have high risk waist-to-hip ratio (≥0.85) (%),Women's Nutritional Status (BMI),,58.0,,,No baseline
81,Children age 6-59 months who are anaemic (<11.0…,Anaemia (Women & Children),64.5,72.6,8.1,12.56,Declined
82,Non-pregnant women age 15-49 years who are anaemic…,Anaemia (Women & Children),66.6,58.6,-8.0,-12.01,Improved
83,Pregnant women age 15-49 years who are anaemic (<11.0…,Anaemia (Women & Children),,,,,No baseline
84,All women age 15-49 years who are anaemic(%),Anaemia (Women & Children),66.4,58.0,-8.4,-12.65,Improved
85,All women age 15-19 years who are anaemic(%),Anaemia (Women & Children),71.9,58.9,-13.0,-18.08,Improved
86,Blood sugar level - high (141-160 mg/dl)(%),Lifestyle-Related NCDs & Screening,,6.1,,,No baseline
87,Blood sugar level - very high (>160 mg/dl)(%),Lifestyle-Related NCDs & Screening,,8.6,,,No baseline
88,Blood sugar level - high or very high (>140 mg/dl) or…,Lifestyle-Related NCDs & Screening,,17.0,,,No baseline
92,Mildly elevated blood pressure (Systolic 140-159 mm of…,Lifestyle-Related NCDs & Screening,,12.1,,,No baseline
93,Moderately or severely elevated blood pressure…,Lifestyle-Related NCDs & Screening,,5.9,,,No baseline
94,Elevated blood pressure (Systolic ≥140 mm of Hg and/or…,Lifestyle-Related NCDs & Screening,,23.9,,,No baseline
98,Ever undergone a screening test for cervical cancer (%),Lifestyle-Related NCDs & Screening,,1.7,,,No baseline
99,Ever undergone a breast examination for breast cancer…,Lifestyle-Related NCDs & Screening,,0.7,,,No baseline
100,Ever undergone an oral cavity examination for oral…,Lifestyle-Related NCDs & Screening,,4.1,,,No baseline
101,Women age 15 years and above who use any kind of…,Substance Use,,6.3,,,No baseline
102,Men age 15 years and above who use any kind of tobacco…,Substance Use,,22.8,,,No baseline
103,Women age 15 years and above who consume alcohol (%),Substance Use,,1.3,,,No baseline
104,Men age 15 years and above who consume alcohol (%),Substance Use,,30.2,,,No baseline
